# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-12-19 18:49:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1058755528 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0-172-g8d78669
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.885972
# Diagonal elements of inverse mass matrix:
# 0.492229
-7.3114154,0.95099534,0.88597205,2,3,0,7.5317373,0.13510654
-7.2541858,1,0.88597205,1,1,0,7.3684209,0.14014233
-7.1677804,0.90251535,0.88597205,1,3,0,8.4932525,0.37425746
-7.0451211,1,0.88597205,2,3,0,7.1857762,0.35347552
-7.0451211,0.78169051,0.88597205,1,1,0,7.6947309,0.35347552
-6.8374756,1,0.88597205,1,1,0,6.9931875,0.30517774
-6.926723,0.97793156,0.88597205,1,1,0,6.933563,0.32917567
-7.1628167,0.93994254,0.88597205,1,1,0,7.1736903,0.37347574
-7.0801446,0.82320308,0.88597205,1,3,0,8.2251039,0.15837633
-6.7602334,0.99351412,0.88597205,1,3,0,7.0982932,0.23081252
-6.7756497,0.99686655,0.88597205,1,1,0,6.7758534,0.22141189
-6.9475461,0.94988877,0.88597205,1,3,0,7.1269565,0.33389242
-6.9364492,0.93623264,0.88597205,2,3,0,7.4265936,0.3314086
-7.2217462,0.92748834,0.88597205,1,1,0,7.230943,0.3824971
-6.8817351,1,0.88597205,1,1,0,7.1340946,0.31802468
-6.9300106,0.94568491,0.88597205,2,3,0,7.2908262,0.32993655
-6.7493986,0.99827623,0.88597205,1,3,0,6.9270874,0.25659746
-6.748951,0.9996337,0.88597205,1,3,0,6.7523514,0.24463721
-7.0980073,0.86545991,0.88597205,2,3,0,7.6673141,0.15624743
-8.1521022,0.9234225,0.88597205,2,7,0,8.1566353,0.48579475
-6.7536058,0.96011891,0.88597205,2,3,0,8.4565131,0.26336238
-6.911553,0.97270481,0.88597205,2,3,0,6.9780637,0.32557803
-7.1581347,0.87470465,0.88597205,2,3,0,7.7896493,0.37273442
-7.3671369,0.98140178,0.88597205,2,3,0,7.4341825,0.40275573
-6.9564239,1,0.88597205,1,1,0,7.2632182,0.33583413
-7.0015554,0.87869657,0.88597205,1,3,0,7.6804933,0.1687324
-6.752928,0.99526936,0.88597205,1,3,0,7.0243816,0.23775618
-6.8549183,0.98021867,0.88597205,1,3,0,6.8747537,0.19537396
-6.7636087,0.99871168,0.88597205,1,3,0,6.8432535,0.22837465
-6.8893034,0.96358172,0.88597205,1,3,0,7.0069273,0.3200099
-6.7505883,0.99349597,0.88597205,1,3,0,6.9299077,0.24111642
-7.2817437,0.93442287,0.88597205,2,3,0,7.3776658,0.39116421
